hidden_size,batch_size,learning_rate,weight_decay_factor,focal_gamma,focal_alpha,mae,rmse,validation_accuracy,validation_close_accuracy,validation_loss,best_epoch
256,128,0.001,0.1,0,,0.26316614420062695,0.7307616158399077,83.35423197492163,93.27586206896552,0.17796195045113564,108
512,128,0.001,0.1,0,,0.25,0.6805631081689831,83.2601880877743,93.80877742946709,0.13429532304406167,67
256,128,0.001,0.1,1.0,,0.27586206896551724,0.7495034929160884,82.7742946708464,92.72727272727273,0.0893838968127966,81
512,128,0.001,0.1,1.0,,0.2761755485893417,0.7274294501982127,81.75548589341693,93.24451410658307,0.09239176087081433,62
768,64,0.001,0.1,5.0,,0.2774294670846395,0.7598877990102483,82.68025078369907,93.08777429467085,0.012814796350430696,45
256,128,0.001,0.1,3.0,,0.2830721003134796,0.7654367491360078,82.61755485893417,92.39811912225706,0.0381962825730443,86
512,128,0.001,0.1,3.0,,0.2800940438871473,0.7407739746405122,81.53605015673982,93.4012539184953,0.03838659856468439,47
256,128,0.001,0.1,5.0,,0.27053291536050156,0.7372744860034143,82.93103448275862,92.89968652037618,0.023071733005344867,68
768,128,0.001,0,0,,0.2691222570532915,0.723865451049137,82.55485893416927,93.15047021943573,0.14872895538806916,61
512,128,0.001,0.1,5.0,,0.26128526645768024,0.7275371776257116,83.65203761755485,92.96238244514106,0.013504184638150037,68
768,128,0.001,0,1.0,,0.2615987460815047,0.7081035646762485,82.7742946708464,93.43260188087774,0.07500293843448162,48
768,128,0.001,0,3.0,,0.2512539184952978,0.696723185700148,83.29153605015674,94.12225705329153,0.038426841869950296,59
768,128,0.001,0,5.0,,0.26300940438871473,0.7191949522280763,82.97805642633229,93.47962382445141,0.05294740900397301,162
768,128,0.001,0.1,0,,0.27163009404388716,0.7433087090775915,82.94670846394985,92.97805642633229,0.17125851050019264,52
768,128,0.001,0.1,1.0,,0.267398119122257,0.7302251982268154,82.74294670846395,93.41692789968653,0.0822109805047512,51
768,128,0.001,0.1,3.0,,0.259717868338558,0.7206101559548018,83.46394984326018,93.44827586206897,0.045996765978634356,66
768,128,0.001,0.1,5.0,,0.27695924764890284,0.7262433938320124,81.55172413793103,93.3385579937304,0.013025297233834863,37
