hidden_size,batch_size,learning_rate,weight_decay_factor,focal_gamma,focal_alpha,mae,validation_accuracy,validation_close_accuracy,validation_loss,best_epoch
64,32,1e-05,0,2.0,0.25,1.2004928315412187,33.83736559139785,67.01388888888889,0.023430849789344708,108
64,32,1e-05,0,2.0,0.5,0.8910170250896058,42.34991039426523,77.69937275985663,0.02225906886227135,452
64,32,1e-05,0,2.0,0.6,1.000560035842294,38.69847670250896,74.49596774193549,0.02443071675410087,208
64,32,1e-05,0,2.0,0.75,1.2113575268817205,33.16532258064516,66.46505376344086,0.022178480034447057,137
64,32,1e-05,0,2.0,0.8,1.363687275985663,31.205197132616487,62.399193548387096,0.021223371875168602,83
64,32,1e-05,0,3.0,0.25,1.1482974910394266,33.64695340501792,69.18682795698925,0.01144741189509203,169
64,32,1e-05,0,3.0,0.5,0.8399417562724014,44.814068100358426,79.44668458781362,0.010625283801293928,747
64,32,1e-05,0,3.0,0.6,0.956989247311828,39.87455197132616,75.99686379928315,0.012015638273796835,246
64,32,1e-05,0,3.0,0.75,1.1733870967741935,34.56541218637993,67.62992831541219,0.011392936300766725,119
64,32,1e-05,0,3.0,0.8,1.2657930107526882,32.6836917562724,64.72894265232975,0.01004157939885733,149
64,32,1e-05,0,4.0,0.25,1.1648745519713262,33.71415770609319,69.15322580645162,0.006128507731382245,113
64,32,1e-05,0,4.0,0.5,0.8098118279569892,46.538978494623656,80.25313620071685,0.005327404623577458,646
64,32,1e-05,0,4.0,0.6,0.9708781362007168,38.64247311827957,75.32482078853046,0.006175647004036814,239
64,32,1e-05,0,4.0,0.75,1.2702732974910393,30.577956989247312,65.30017921146954,0.006396558516288316,82
64,32,1e-05,0,4.0,0.8,1.273073476702509,31.350806451612904,64.84094982078852,0.005368127723768567,128
64,32,1e-05,0,5.0,0.25,1.1468413978494623,33.994175627240146,69.04121863799283,0.0029891633176608646,143
64,32,1e-05,0,5.0,0.5,0.8235887096774194,45.97894265232975,79.31227598566308,0.0027446964243260014,677
64,32,1e-05,0,5.0,0.6,0.9643817204301075,39.236111111111114,75.67204301075269,0.0031159797459707254,261
64,32,1e-05,0,5.0,0.75,1.3010752688172043,28.59543010752688,64.22491039426524,0.003291774551153824,82
64,32,1e-05,0,5.0,0.8,1.2610887096774193,31.642025089605735,64.94175627240143,0.002704030534129016,160
64,32,0.0001,0,0,0.25,0.6451612903225806,56.28360215053763,85.23745519713262,0.05593995597734246,258
64,32,0.0001,0,0,0.5,0.5178091397849462,63.87768817204301,88.5752688172043,0.055552519270382475,384
64,32,0.0001,0,0,0.6,0.52665770609319,62.54480286738351,88.96729390681004,0.05553957665052038,356
64,32,0.0001,0,0,0.75,0.6960125448028673,53.505824372759854,83.82616487455198,0.05527096991443933,202
64,32,0.0001,0,0,0.8,0.8048835125448028,48.99193548387097,79.79390681003584,0.05230602280881029,152
64,32,0.0001,0,1.0,0.25,0.8501344086021505,45.65412186379928,78.30421146953405,0.033705355112163826,103
64,32,0.0001,0,1.0,0.5,0.4835349462365591,65.53539426523298,89.91935483870968,0.02816272364081448,405
64,32,0.0001,0,1.0,0.6,0.48308691756272404,66.64426523297492,89.63933691756273,0.028706867588303424,506
64,32,0.0001,0,1.0,0.75,0.9316756272401434,40.70340501792115,76.64650537634408,0.038447481222904714,51
64,32,0.0001,0,1.0,0.8,1.1062948028673836,34.21818996415771,70.63172043010752,0.0384099430881948,29
64,32,0.0001,0,2.0,0.25,0.9027777777777778,42.013888888888886,77.32974910394265,0.01982631592754288,70
64,32,0.0001,0,2.0,0.5,0.47681451612903225,66.63306451612904,89.96415770609319,0.015865320393208107,483
64,32,0.0001,0,2.0,0.6,0.5004480286738351,64.79614695340501,89.12410394265233,0.014103102591222546,358
64,32,0.0001,0,2.0,0.75,0.7245743727598566,50.638440860215056,83.68055555555556,0.015492174794436783,155
64,32,0.0001,0,2.0,0.8,0.7460797491039427,50.134408602150536,82.60528673835125,0.014755446490527908,165
64,32,0.0001,0,3.0,0.25,0.8300851254480287,46.729390681003586,79.4578853046595,0.009002717016565224,139
64,32,0.0001,0,3.0,0.5,0.5075044802867383,64.95295698924731,88.76568100358423,0.008339248028480344,429
64,32,0.0001,0,3.0,0.6,0.5529793906810035,60.30465949820788,88.2168458781362,0.007989432252976896,358
64,32,0.0001,0,3.0,0.75,0.8853046594982079,42.78673835125448,77.9681899641577,0.009043631567803335,87
64,32,0.0001,0,3.0,0.8,0.9971998207885304,39.97535842293907,73.73431899641577,0.008755972687368645,61
64,32,0.0001,0,4.0,0.25,0.6951164874551972,54.30107526881721,82.9413082437276,0.00414518346445882,193
64,32,0.0001,0,4.0,0.5,0.5030241935483871,65.63620071684588,88.76568100358423,0.004987334809599838,489
64,32,0.0001,0,4.0,0.6,0.525649641577061,63.48566308243728,88.39605734767025,0.0041357504995039075,382
64,32,0.0001,0,4.0,0.75,0.6693548387096774,54.41308243727599,84.94623655913979,0.003884703139974786,201
64,32,0.0001,0,4.0,0.8,0.712589605734767,53.11379928315412,82.89650537634408,0.0035009583463311515,212
64,32,0.0001,0,5.0,0.25,0.9242831541218638,42.4171146953405,76.42249103942652,0.0026762732062622315,59
64,32,0.0001,0,5.0,0.5,0.5050403225806451,65.31137992831542,88.94489247311827,0.002872567255205164,511
64,32,0.0001,0,5.0,0.6,0.4898073476702509,65.07616487455198,89.56093189964157,0.0020516581600114677,429
64,32,0.0001,0,5.0,0.75,0.7729614695340502,49.49596774193548,81.57482078853046,0.002087313575857055,171
